name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Isleworth Public Hall,South Street, Isleworth,NA,Hounslow,http://www.fusion-lifestyle.com/centres/isleworth-public-hall,100023000000,E09000018,Isleworth,E05000362,-0.32722502744674237,51.46928924053546,516065.39764897793,175915.50106465427,10/17/2021
Watermans Art Centre,40 High St, Brentford,NA,Hounslow,https://www.watermans.org.uk/,100023000000,E09000018,Brentford,E05000347,-0.2996288588843563,51.48627848953497,517937.7375512097,177848.5656712859,10/17/2021
Orange Tree Theatre,1 Clarence St, Richmond,NA,Richmond upon Thames,https://www.orangetreetheatre.co.uk/,100023000000,E09000027,North Richmond,E05000526,-0.30346020715456423,51.46489827440174,517726.9133876301,175465.28498077684,10/17/2021
Compass Theatre,Glebe Ave, Ickenham,NA,Hillingdon,http://www.hillingdontheatres.uk/,100023000000,E09000017,Ickenham,E05000333,-0.44144299583230084,51.5613488710283,507916.23862520634,185976.0356415448,10/17/2021
Peacock Theatre,Portugal St,NA,NA,Camden,http://peacocktheatre.com/,100023000000,E09000007,Holborn and Covent Garden,E05000138,-0.11959911469046225,51.515137268077986,530351.493382945,181362.8360726792,10/17/2021
Aldwych Theatre,49 Aldwych,NA,NA,City of Westminster,https://www.nederlander.co.uk/aldwych-theatre,100023000000,E09000033,St. James's,E05000644,-0.1204699953287099,51.51358639460768,530295.5105237234,181188.85703011317,10/17/2021
Fortune Theatre,Russell St,NA,NA,City of Westminster,https://www.londontheatredirect.com/venue/52/fortune-theatre.aspx,100023000000,E09000033,St. James's,E05000644,-0.1223218172608624,51.513759345414734,530166.5575191171,181204.7867060348,10/17/2021
Duchess Theatre,3-5 Catherine St,NA,NA,City of Westminster,https://www.nimaxtheatres.com/theatres/duchess-theatre/,100023000000,E09000033,St. James's,E05000644,-0.12134189119420632,51.51270146029003,530237.5527728348,181088.91617281706,10/17/2021
Adelphi Theatre,Strand, London,NA,City of Westminster,http://www.reallyusefultheatres.co.uk/our-theatres/adelphi,100023000000,E09000033,St. James's,E05000644,-0.1244245447812526,51.51063759528034,530029.5860213445,180853.96791077795,10/17/2021
Iris Theatre,St Paul's Church, Bedford Street, Covent Garden,City of Westminster,http://iristheatre.com/,100023000000,E09000033,St. James's,E05000644,-0.12533318606771207,51.51209234480673,529962.4079357954,181014.09144751716,10/17/2021
Wyndham's Theatre,Charing Cross Rd,NA,NA,City of Westminster,https://www.delfontmackintosh.co.uk/theatres/wyndhams-theatre/,100023000000,E09000033,St. James's,E05000644,-0.1298180350542819,51.511568413584925,529652.7743413138,180947.87719733932,10/17/2021
Garrick Theatre,2 Charing Cross Rd,NA,NA,City of Westminster,https://www.nimaxtheatres.com/theatres/garrick-theatre/,100023000000,E09000033,St. James's,E05000644,-0.12938805369313983,51.510455525244765,529685.7649876705,180824.9087705749,10/17/2021
Arts Theatre,6-7 Great Newport St, London,NA,City of Westminster,https://artstheatrewestend.co.uk/,100023000000,E09000033,St. James's,E05000644,-0.12905413192893792,51.51264432776856,529702.7109625954,181068.85258965153,10/17/2021
Leicester Square Theatre,6 Leicester Pl,NA,NA,City of Westminster,http://www.leicestersquaretheatre.com/,100023000000,E09000033,St. James's,E05000644,-0.13167985723709952,51.511850354877566,529522.8149348813,180975.92314803292,10/17/2021
Duke of York's Theatre,St Martin's Ln,NA,NA,City of Westminster,http://www.atgtickets.com/venues/duke-of-yorks/,100023000000,E09000033,St. James's,E05000644,-0.12878711841979462,51.5107165109118,529726.712728149,180854.99137889018,10/17/2021
London Coliseum ,St Martin's Ln,NA,NA,City of Westminster,https://www.eno.org/,100023000000,E09000033,St. James's,E05000644,-0.1278772016378012,51.51042255432006,529790.6729783464,180823.9242767066,10/17/2021
NoÃ«l Coward Theatre,85-88 St Martin's Ln,NA,NA,City of Westminster,http://www.noelcowardtheatre.co.uk/,100023000000,E09000033,St. James's,E05000644,-0.128820127726811,51.51131045526986,529722.7348188784,180920.96762796305,10/17/2021
Playhouse theatre,Northumberland Ave,NA,NA,City of Westminster,https://www.playhousetheatrelondon.com/,100023000000,E09000033,St. James's,E05000644,-0.12528839633683034,51.5074768743501,529978.6565750008,180501.02250240633,10/17/2021
Prince Edward Theatre,Old Compton St, Soho,NA,City of Westminster,http://www.princeedwardtheatre.co.uk/,100023000000,E09000033,West End,E05000649,-0.13253282091334742,51.514264114387764,529456.7968960282,181242.77457868383,10/17/2021
Prince of Wales Theatre,Coventry St,NA,NA,City of Westminster,https://www.delfontmackintosh.co.uk/theatres/prince-of-wales-theatre/,100023000000,E09000033,St. James's,E05000644,-0.13337766385438113,51.510510449544526,529408.8329880796,180823.9456632043,10/17/2021
Queen's Theatre ,51 Shaftesbury Ave, Soho,NA,City of Westminster,http://www.queenstheatre.co.uk/,100023000000,E09000033,West End,E05000649,-0.1345065921469717,51.51251524158,529324.8344481246,181044.8411602932,10/17/2021
Lyric Theatre,29 Shaftesbury Ave, Soho,NA,City of Westminster,https://www.nimaxtheatres.com/theatres/lyric-theatre/,100023000000,E09000033,West End,E05000649,-0.13540049085214792,51.51178329476097,529264.8964639279,180961.88225134736,10/17/2021
Canal CafÃ© Theatre,2 Delamere Terrace,NA,NA,City of Westminster,https://canalcafetheatre.com/,100023000000,E09000033,Westbourne,E05000648,-0.18627770541574026,51.52168049755769,525708.1488199685,181973.53134589834,10/17/2021
Brookside Theatre,21A Eastern Rd, Romford,NA,Havering,http://www.brooksidetheatre.com/,100024000000,E09000016,Romford Town,E05000319,0.18360228075900625,51.57665761575345,551178.7654769069,188786.51713615225,10/17/2021
Laban Theatre,Laban Building, 30 Creekside,NA,Lewisham,https://www.trinitylaban.ac.uk/whats-on/our-venues/laban-theatre,100024000000,E09000023,New Cross,E05000449,-0.02168121540413649,51.47906871834874,537252.0744281212,177531.87311555585,10/17/2021
Sydenham Centre,44a Sydenham Road,NA,NA,Lewisham,https://www.lewisham.gov.uk/inmyarea/Pages/venue-detail.aspx?directoryid=5081,100024000000,E09000023,Sydenham,E05000452,-0.053283625983285635,51.426411386665166,535213.8729623631,171618.73775043047,10/17/2021
South London Theatre,The Old Fire Station, 2A Norwood High Street,NA,Croydon,http://www.southlondontheatre.co.uk/,100024000000,E09000008,South Norwood,E05011485,-0.07717903059696904,51.400919102494306,533627.5091073987,168740.7762694927,10/17/2021
Theatre Royal Haymarket,18 Suffolk St,NA,NA,City of Westminster,http://www.trh.co.uk/,100024000000,E09000033,St. James's,E05000644,-0.13284869232864002,51.50934256806414,529448.8417004315,180695.03687751933,10/17/2021
Savoy Theatre,Savoy Court, Strand,NA,City of Westminster,http://www.atg.co.uk/venues/london/savoy-theatre/,100024000000,E09000033,St. James's,E05000644,-0.12247673659403584,51.510678625900724,530164.596134892,180861.99593229056,10/17/2021
